;;Cod.;Descrizione;Libero 4;Q.tà in giacenza;Fornitore;Ubicazione;Note
;No;9048;Cordino Tornado Mandarino Grammi 200;P.ta 301;150;Giletti S.P.A.;BA-12;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12920;Cordino Tornado Marrone Grammi 200;P.ta 9031;150;Giletti S.P.A.;BA-13;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;n9eslk0r;Cordino Tornado Militare Grammi 200;p.ta 3192;150;Giletti S.P.A.;BA-14;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;60hx3dts;Cordino Tornado Nero Grammi 200;P.ta 3149;150;Giletti S.P.A.;BA-15;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;5218;Cordino Tornado Panna Grammi 200;P.ta 3312;150;Giletti S.P.A.;BA-17;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;8f8yyrlv;Cordino Tornado Perla Grammi 200;P.ta F5803;150;Giletti S.P.A.;BA-18;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;2yxayrjh;Cordino Tornado Petrolio Grammi 200;P.ta 9171;150;Giletti S.P.A.;BB-19;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;saa1rdjh;Cordino Tornado Rosa Grammi 200;p.ta 2338;120;Giletti S.P.A.;BA-20;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;qg1y5viw;Cordino Tornado Rosso Grammi 200;P.ta 9160;150;Giletti S.P.A.;BA-21;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12921;Cordino Tornado Ruggine Grammi 200;P.ta 2293;150;Giletti S.P.A.;BA-22;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;gopf8lqj;Cordino Tornado Sabbia Grammi 200;P.ta 3130;120;Giletti S.P.A.;BA-23;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9063;Cordino Tornado Salvia Grammi 200;Pta 1015;150;Giletti S.P.A.;BA-24;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;k5tetidv;Cordino Tornado Smog Grammi 200;P.ta 5263;150;Giletti S.P.A.;BA-25;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;3u7cmznr;Cordino Tornado Turchese Grammi 200;P.ta 75704;150;Giletti S.P.A.;BA-26;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;qb0jl96h;Cordino Tornado Verde Acqua Grammi 200;P.ta 9056;180;Giletti S.P.A.;BA-27;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12922;Cordino Tornado Verde Grammi 200;P.ta 6307;150;Giletti S.P.A.;BA-28;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12919;Cordino Tornado Viola Grammi 200;P.ta 9059;180;Giletti S.P.A.;BA-29;Tricottino in rocca realizzato in Misto Cotone aspetto circolare ed effetto opaco. Rocca gr 200 metri 180 ca e un diametro di mm 2,3. Adatto per la realizzazione di borse ed affini, complementi d'arredo  tappeti e per il macramè. Consigliati uncinetto 5-7. Il cordino Tornado è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;pc222q0a;Fettuccia Pandoro Queen Argento Grammi 200;P.ta 2056-01;150;Indorama Ventures Lifestyle Italy Spa;AG-24;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;dyjvnfhk;Fettuccia Pandoro Queen Avion Grammi 200;P.ta 2375;120;Indorama Ventures Lifestyle Italy Spa;AG-23;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;xxtwxciv;Fettuccia Pandoro Queen Becco oca Grammi 200;;120;Indorama Ventures Lifestyle Italy Spa;AG-22;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;bnmbovpv;Fettuccia Pandoro Queen Beige Grammi 200;P.ta 1919;121;Indorama Ventures Lifestyle Italy Spa;AG-21;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;xge1gcir;Fettuccia Pandoro Queen Bianco Ottico Grammi 200;P.ta 4106;90;Indorama Ventures Lifestyle Italy Spa;AG-20;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;6mmxv8xk;Fettuccia Pandoro Queen Blu marine Grammi 200;P.ta 1048;120;Indorama Ventures Lifestyle Italy Spa;AG-19;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;n8o928s3;Fettuccia Pandoro Queen Bluette Grammi 200;P.ta 1365;150;Indorama Ventures Lifestyle Italy Spa;AG-18;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;j4obomwu;Fettuccia Pandoro Queen Bordeaux Grammi 200;P.ta 6586;150;Indorama Ventures Lifestyle Italy Spa;AG-17;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12897;Fettuccia Pandoro Queen Caramello Grammi 200;P.ta 1236;30;Indorama Ventures Lifestyle Italy Spa;AG-16;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;oe2eg3z9;Fettuccia Pandoro Queen Carta Zucchero Grammi 200;P.ta 8080;90;Indorama Ventures Lifestyle Italy Spa;AG-15;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;ral41vbd;Fettuccia Pandoro Queen Castagna Grammi 200;P.ta 5022-01;150;Indorama Ventures Lifestyle Italy Spa;AG-14;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;lz37beob;Fettuccia Pandoro Queen Cipria Grammi 200;P.ta 3098;90;Indorama Ventures Lifestyle Italy Spa;AG-13;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12931;Fettuccia Pandoro Queen Crema gr 200;P.ta 3699;120;Indorama Ventures Lifestyle Italy Spa;AG-12;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;11585;Fettuccia Pandoro Queen Cuoio Grammi 200;P.ta 8213;120;Indorama Ventures Lifestyle Italy Spa;AG-11;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;w6nygrwt;Fettuccia Pandoro Queen Fuxia Fluo Grammi 200;P.ta 2578;120;Indorama Ventures Lifestyle Italy Spa;AG-10;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;weq6b8r7;Fettuccia Pandoro Queen Glicine Grammi 200;P.ta 3098;120;Indorama Ventures Lifestyle Italy Spa;AG-9;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;qtyyi1xa;Fettuccia Pandoro Queen Grigio Grammi 200;P.ta 3028-01;150;Indorama Ventures Lifestyle Italy Spa;AG-8;"Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland. 
[P.ta 3028-01]"
;No;7260;Fettuccia Pandoro Queen Grigio Medio Grammi 200;P.ta 2156;150;Indorama Ventures Lifestyle Italy Spa;AG-7;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12932;Fettuccia Pandoro Queen Lilla gr 200;P.ta 75122;150;Indorama Ventures Lifestyle Italy Spa;AG-6;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12933;Fettuccia Pandoro Queen Lime gr 200;P.ta 75216;150;Indorama Ventures Lifestyle Italy Spa;AG-5;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12935;Fettuccia Pandoro Queen Magenta gr 200;[P.ta 75140];150;Indorama Ventures Lifestyle Italy Spa;AG-4;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;6351;Fettuccia Pandoro Queen Militare Grammi 200;;150;Indorama Ventures Lifestyle Italy Spa;AG-3;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;oa3jo3uk;Fettuccia Pandoro Queen Nero Grammi 200;P.ta 6028;150;Indorama Ventures Lifestyle Italy Spa;AG-2;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;3yvbo0x6;Fettuccia Pandoro Queen Nocciola Grammi 200;P.ta 0986;90;Indorama Ventures Lifestyle Italy Spa;AG-1;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;avaa2v54;Fettuccia Pandoro Queen Nuvola Grammi 200;P.ta 2059-01;120;Indorama Ventures Lifestyle Italy Spa;AF-1;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;14595;Fettuccia Pandoro Queen Panna Grammi 200;P.ta 2776;30;Indorama Ventures Lifestyle Italy Spa;AF-2;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;9exj78cy;Fettuccia Pandoro Queen Petrolio Grammi 200;P.ta 8906;120;Indorama Ventures Lifestyle Italy Spa;AF-3;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12938;Fettuccia Pandoro Queen Pistacchio gr 200;P.ta 75308;120;Indorama Ventures Lifestyle Italy Spa;AF-4;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;rsuses4p;Fettuccia Pandoro Queen Rame Grammi 200;P.ta 2941;0;Indorama Ventures Lifestyle Italy Spa;AF-5;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;nevx4uy9;Fettuccia Pandoro Queen Rosso Grammi 200;P.ta 5038-01;120;Indorama Ventures Lifestyle Italy Spa;AF-6;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;94idud1q;Fettuccia Pandoro Queen Sole Grammi 200;P.ta 3098;150;Indorama Ventures Lifestyle Italy Spa;AF-7;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;udeix2bw;Fettuccia Pandoro Queen Tiffany Grammi 200;P.ta 8630;120;Indorama Ventures Lifestyle Italy Spa;AF-8;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;12940;Fettuccia Pandoro Queen Turchese gr 200;P.ta 75123;60;Indorama Ventures Lifestyle Italy Spa;AF-9;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;6350;Fettuccia Pandoro Queen Verde Grammi 200;P.ta 5252;150;Indorama Ventures Lifestyle Italy Spa;AF-10;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No;nlp0dlug;Fettuccia Pandoro Queen Viola Grammi 200;P.ta 5218-01;150;Indorama Ventures Lifestyle Italy Spa;AF-11;Fettuccia Poliestere e Poliammide in rocca da gr 200 mt 300 ca con aspetto lucido effetto setato Tubolare larghezza cm 0,4 ca per la realizzazione di Borse ed accessori. Consigliati Uncinetto 4-6.  Il Pandoro Queen è 100% Made in Italy ideato prodotto e distribuito in esclusiva da Tessiland.
;No; 25135;Fettuccia Pappardella Bordeaux Gr 200;P.ta 2025;90;Indorama Ventures Lifestyle Italy Spa;BK-3;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No; 25137;Fettuccia Pappardella Cuoio Gr 200;P.ta 2025;60;Indorama Ventures Lifestyle Italy Spa;BK-4;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No;25134;Fettuccia Pappardella Militare Gr 200;P.ta 2025;90;Indorama Ventures Lifestyle Italy Spa;BK-5;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No;25139;Fettuccia Pappardella Nero Gr 200;P.ta 2025;60;Indorama Ventures Lifestyle Italy Spa;BK-6;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No;25138;Fettuccia Pappardella Panna Gr 200;P.ta 2026;60;Indorama Ventures Lifestyle Italy Spa;BK-7;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No;25133;Fettuccia Pappardella Rame Gr 200;P.ta 2025;90;Indorama Ventures Lifestyle Italy Spa;BK-8;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No;25136;Fettuccia Pappardella Rosso Gr 200;P.ta 2025;60;Indorama Ventures Lifestyle Italy Spa;BK-9;Fettuccia Pappardella, realizzata con i materiali Made in Italy del famosissimo cordino Sublime, ha garanzia di continuità nei colori. Formato rocca da 200 grammi per una lunghezza di 60 metri ed una larghezza di cm 1,5 circa, la fettuccia Pappardella si propone come novità esclusiva di Tessiland per assecondare la richiesta di vedere una fettuccia con una struttura simile alla Lycra ma realizzato in cordino. Sono consigliati uncinetti molto grandi 10+.
;No;8463;Fettuccia Tagliatella Top Avio Gr 200;P.ta 03;120;Filsaronno Srl;BD-1;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;9046;Fettuccia Tagliatella Top Azzurro Gr 200;P.ta 04;120;Filsaronno Srl;BD-1;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7836;Fettuccia Tagliatella Top Beige Gr 200;P.ta 03;180;Filsaronno Srl;BD-2;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7837;Fettuccia Tagliatella Top Bianco Gr 200;P.ta 4;120;Filsaronno Srl;BD-3;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
